id,Majority protein IDs,Gene names,Protein names,Reverse,Potential contaminant,Fasta headers,Only identified by site,FGFR2-APEX_UT_Proximal_R1,FGFR2-APEX_UT_Proximal_R2,FGFR2-APEX_UT_Proximal_R3,FGFR2-APEX_UT_Global_R1,FGFR2-APEX_UT_Global_R2,FGFR2-APEX_UT_Global_R3,FGFR2-APEX_FGF10_Proximal_R1,FGFR2-APEX_FGF10_Proximal_R2,FGFR2-APEX_FGF10_Proximal_R3,FGFR2-APEX_FGF10_Global_R1,FGFR2-APEX_FGF10_Global_R2,FGFR2-APEX_FGF10_Global_R3,GFP-APEX_UT_Proximal_R1,GFP-APEX_UT_Proximal_R2,GFP-APEX_UT_Proximal_R3,GFP-APEX_UT_Global_R1,GFP-APEX_UT_Global_R2,GFP-APEX_UT_Global_R3,GFP-APEX_FGF10_Proximal_R1,GFP-APEX_FGF10_Proximal_R2,GFP-APEX_FGF10_Proximal_R3,GFP-APEX_FGF10_Global_R1,GFP-APEX_FGF10_Global_R2,GFP-APEX_FGF10_Global_R3,RAB11-APEX_FGF10_Proximal_R1,RAB11-APEX_FGF10_Proximal_R2,RAB11-APEX_FGF10_Proximal_R3,RAB11-APEX_FGF10_Global_R1,RAB11-APEX_FGF10_Global_R2,RAB11-APEX_FGF10_Global_R3,FGFR2-APEX_UT_Proximal_medianNormalised,FGFR2-APEX_FGF10_Proximal_medianNormalised,RAB11-APEX_FGF10_Proximal_medianNormalised,Regulated
50,A0A087WUT6,EIF5B,Eukaryotic translation initiation factor 5B,NA,NA,"tr|A0A087WUT6|A0A087WUT6_HUMAN Isoform of O60841, Tr-type G domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=EIF5B PE=1 SV=1;sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens (Human) OX=9606 GN=EIF5B PE=1 SV=4",NA,8.432957805472935,8.475854457232877,8.477974426320127,8.538268682007573,8.572160556437108,8.582201981859155,8.238411162525473,8.345448584799522,8.348255395676942,8.598717463523988,8.635508559278191,8.625126398459384,8.169191713684281,8.183600287897207,8.141026853328338,8.6523498358059,8.653820141949632,8.6445933473172,8.07334484441435,8.075001033158554,7.985255669627361,8.696811295559385,8.642179015324961,8.650662444362016,8.052821365142654,8.060042558675503,8.039136397426528,8.593187438779651,8.604861165114448,8.59248072007084,0.6618735424120478,0.48847921618450857,-1.1503527585965514,+
51,A0A087X0G7,IKBKG,NF-kappa-B essential modulator,NA,NA,"tr|A0A087X0G7|A0A087X0G7_HUMAN Isoform of Q9Y6K9, CCHC NOA-type domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=IKBKG PE=1 SV=1;tr|A0A087WUW6|A0A087WUW6_HUMAN Isoform of Q9Y6K9, CCHC NOA-type domain-containing protein OS=Homo sapiens (Human) O",NA,6.708797018838919,6.710971291532117,6.661578167143003,7.188300308778727,7.190666390810776,7.183351646971918,6.743687609263614,6.705112926674007,6.903635077529063,7.133141717010652,7.107588442035154,7.124008610979153,6.946369686549667,7.024744819778295,6.9872485883248725,7.092763431905553,7.071027772688887,6.9982606038300155,7.042257583813023,6.892195536650269,6.87074793464284,7.0545826112213526,7.01412356364422,7.023566262386345,7.012305499205932,6.944826788254344,6.842551306086632,7.094069226230339,7.087321053935741,7.124858167980022,-0.9156577177127264,-0.15141510540987457,1.067072823122601,
57,A0A087WV97,SMAP2,Stromal membrane-associated protein 2,NA,NA,"tr|A0A087WV97|A0A087WV97_HUMAN Isoform of Q8WU79, Arf-GAP domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=SMAP2 PE=1 SV=1;sp|Q8WU79-3|SMAP2-3_HUMAN Isoform of Q8WU79, Isoform 3 of Stromal membrane-associated protein 2 OS=Homo sapiens (Human) O",NA,7.1419717007835555,7.201790157340471,7.283944806656897,5.1495104454735205,3.9262071081928873,4.713378036422414,6.977391776634756,7.017808962456406,7.010072191740967,5.013091911734258,4.7059640083543135,5.139634490194162,7.244790872556653,7.369016312881168,7.266950241138629,5.347807553137669,5.117295592801239,5.884588745917334,7.038227332915442,7.343901608777923,7.328664008060597,4.731945056728314,4.000397001600011,5.312087900201259,7.324610332668165,7.440438088999477,7.314771684506594,5.336481083069082,4.2490869016131185,5.476751598699543,0.3824177185521097,-1.1347752408322491,0.7523575222801394,
61,A0A087WVF7,ITSN2,Intersectin-2,NA,NA,"tr|A0A087WVF7|A0A087WVF7_HUMAN Isoform of Q9NZM3, Intersectin-2 OS=Homo sapiens (Human) OX=9606 GN=ITSN2 PE=1 SV=1;sp|Q9NZM3-2|ITSN2-2_HUMAN Isoform of Q9NZM3, Isoform 2 of Intersectin-2 OS=Homo sapiens (Human) OX=9606 GN=ITSN2 PE=1 SV=3;sp|Q9NZM3|ITSN2_HU",NA,7.029819621244953,7.03713251208309,6.993238476617544,6.836341909119391,6.991895144696111,6.968042541821568,6.929683114132634,6.925715984562466,6.935614621028647,6.9304465442077,6.888964238286708,6.905037369990778,7.221523863475968,7.2269142085092275,7.25768808441799,7.0592716717778865,7.055873098033571,7.013835132241043,7.173565130540989,7.243776619623165,7.226072009923893,7.131038955392563,7.068210755877079,7.112779167256998,7.2769332996751075,7.224530833125143,7.198868427530252,6.920063558228124,6.890020512790823,6.833926117868325,-0.2137822883793699,-0.8758208430585902,1.0896031314379655,
62,B3KPU0,PDLIM2,PDZ and LIM domain protein 2,NA,NA,"tr|B3KPU0|B3KPU0_HUMAN Isoform of Q96JY6, LIM zinc-binding domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=PDLIM2 PE=1 SV=1;tr|A0A087WVI1|A0A087WVI1_HUMAN Isoform of Q96JY6, PDZ and LIM domain protein 2 OS=Homo sapiens (Human) OX=9606 GN=PDLIM",NA,6.686473666731418,6.857535251069152,6.7656851651612895,7.168790392732405,7.230890391502774,7.184184053370181,6.6580742392174574,6.570010731810639,6.383574359372525,7.0791168111662195,7.137320540101022,7.049685300943673,2.819532078509539,5.22425969608995,6.801113269994694,7.231979053893234,7.041087673557861,7.149323352203929,6.510632466084262,6.632803413183355,5.783673506522226,7.2518662157022336,7.256109613149678,7.08783574614215,2.682948644277431,5.092023301733326,5.516555605459639,7.176550526787268,7.22771399380162,7.315782397788562,1.036013084592269,-0.07640981855918343,-0.9596032660330855,+
65,A0A087WVP1,FAT1,Protocadherin Fat 1,NA,NA,"tr|A0A087WVP1|A0A087WVP1_HUMAN Isoform of Q14517, Protocadherin Fat 1 OS=Homo sapiens (Human) OX=9606 GN=FAT1 PE=1 SV=1;sp|Q14517|FAT1_HUMAN Protocadherin Fat 1 OS=Homo sapiens (Human) OX=9606 GN=FAT1 PE=1 SV=2",NA,6.52928841230992,6.872041184566711,6.8910456822757515,7.752415454770936,7.696104210563432,7.656326269861197,7.782424006081104,7.792219990113919,7.786666845471787,7.805155878056886,7.878427423118728,7.882500951618393,7.541120440294117,7.593747123794348,7.624409648373232,7.4920323356915475,7.415358324417682,7.470330293041921,7.110601797888575,7.089074770458031,7.064131975315455,7.408055498723884,7.296626454444523,7.845130358997633,6.991814811180734,7.277795125460249,7.351751039316758,7.726912602203214,7.677327931898654,7.640553491329926,-1.0741115142026678,0.9040889181276078,0.17002259607506118,+
66,A0A087WVQ6,CLTC,Clathrin heavy chain,NA,NA,"tr|A0A087WVQ6|A0A087WVQ6_HUMAN Isoform of Q00610, Clathrin heavy chain OS=Homo sapiens (Human) OX=9606 GN=CLTC PE=1 SV=1;sp|Q00610-2|CLH1-2_HUMAN Isoform of Q00610, Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens (Human) OX=9606 GN=CLTC PE=1 SV=5;sp|Q0",NA,9.679880458366611,9.673897474709472,9.696683182672524,9.752865878619678,9.800984246428529,9.767096749184208,9.68674503759403,9.758397242890515,9.76559433848736,9.80106566614652,9.846243171321552,9.754970931009495,9.775979384674905,9.74765128291322,9.759025894180215,9.679983095062722,9.755239749333173,9.785403034659586,9.713533915891018,9.713673578520758,9.69596524367892,9.7989393948902,9.74623746307725,9.684986924085624,9.592762215497526,9.640956692275388,9.677718937234715,9.709504473538392,9.726767185110502,9.70344286478108,-0.6212732682123643,1.1535569415217397,-0.5322836733093907,
81,A0A494C001,RBM15,Putative RNA-binding protein 15,NA,NA,"tr|A0A494C001|A0A494C001_HUMAN Isoform of Q96T37, RNA-binding protein 15 OS=Homo sapiens (Human) OX=9606 GN=RBM15 PE=1 SV=2;tr|A0A499FJY3|A0A499FJY3_HUMAN Isoform of Q96T37, RNA-binding protein 15 OS=Homo sapiens (Human) OX=9606 GN=RBM15 PE=4 SV=1;tr|A0A08",NA,8.054520899694205,8.071832204407809,8.06287911477356,7.844898285069635,7.607791580578984,7.76322917469179,8.130980136530132,8.08320005049544,8.051592711062375,7.720524209002151,7.66746104510355,7.683077338423957,8.108113726174405,8.085225683334786,8.039091112304103,7.864244106282408,7.864701716172616,7.989783041949096,8.355854771673338,8.310858679061958,8.236575810583963,7.69723945270515,7.685465635943091,7.718965702957406,8.108700469844738,8.071644205576275,8.109245785125642,7.806883492422193,7.869059248618144,7.866505059975012,1.1471324488021508,-0.6878700243330531,-0.45926242446908944,+
83,A0A087WWS1,THOC1,THO complex subunit 1,NA,NA,"tr|A0A087WWS1|A0A087WWS1_HUMAN Isoform of Q96FV9, Death domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=THOC1 PE=1 SV=1;sp|Q96FV9|THOC1_HUMAN THO complex subunit 1 OS=Homo sapiens (Human) OX=9606 GN=THOC1 PE=1 SV=1",NA,7.371604110594915,7.36814994742421,7.238605801962883,7.858089627883681,7.879109943567287,7.859391172860009,7.414036325505058,7.550166855044313,7.501308755020627,7.818208714483952,7.828108935057788,7.887156175472875,7.395459800889145,7.354811692230633,7.313511464209789,7.91160455370054,7.952612706543296,7.958084096589853,7.165947569982779,6.890112832851244,6.655957575394124,8.006360195098816,7.924766071730678,8.007615355747467,7.401487721420925,7.432051939792258,7.411848301689113,7.9507177823142445,7.9322014928232365,7.943150004095618,-1.1435710394710654,0.7102916866101531,0.4332793528609123,+
84,A0A087WWU1,TMEM237,Transmembrane protein 237,NA,NA,"tr|A0A087WWU1|A0A087WWU1_HUMAN Isoform of Q96Q45, Transmembrane protein 237 OS=Homo sapiens (Human) OX=9606 GN=TMEM237 PE=1 SV=1;sp|Q96Q45-2|TM237-2_HUMAN Isoform of Q96Q45, Isoform 2 of Transmembrane protein 237 OS=Homo sapiens (Human) OX=9606 GN=TMEM237",NA,4.126042975610903,5.884958656023559,4.874754324751902,3.378751569775115,5.243258912383245,6.098975715693346,6.034280274149291,5.599116909392878,5.42882059086286,5.653618806279251,5.2984866981240755,5.119248274104578,5.823210261095664,5.163295987650661,5.349518404274965,4.980418387796657,4.864420170029426,5.7420182036735365,3.9179585641789703,6.2212332723197035,4.140352947221534,4.992634067466533,3.9469313674042352,2.5926540092202304,5.461356945121754,5.6189416184749845,5.0684811312363545,5.8375774923509,5.1791726139126,5.952992953556048,-1.1520487488115996,0.6437573816564865,0.508291367155112,+
89,A0A087WXC5,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NA,NA,"tr|A0A087WXC5|A0A087WXC5_HUMAN Isoform of O95299, NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=NDUFA10 PE=1 SV=1;tr|E7ESZ7|E7ESZ7_HUMAN Isoform of O95299, NADH dehydrogenase [ubiquinone] 1",NA,7.986740536063352,8.072529803292559,8.060357940763671,7.93757227437259,7.933572457941613,7.90386801706244,8.120963667012058,8.03482086166261,8.062942278518529,7.859390892382931,7.8683701713255,7.896515890880446,8.428940970980307,8.449503521889685,8.424581475220267,7.795619034786292,8.0757438319026,8.044393452604545,8.488479615276404,8.528299975107009,8.534858611850604,7.955611956306207,7.885804216995866,8.003486794098617,8.475183814609048,8.493270768618057,8.445689123268332,8.027775395181044,7.98508106980482,7.997592177239192,-0.3503788744904181,-0.77766206389918,1.1280409383896026,
94,A0A087WXK8,FAM83D,Protein FAM83D,NA,NA,"tr|A0A087WXK8|A0A087WXK8_HUMAN Isoform of Q9H4H8, FAM83 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=FAM83D PE=1 SV=1;sp|Q9H4H8-2|FA83D-2_HUMAN Isoform of Q9H4H8, Isoform 2 of Protein FAM83D OS=Homo sapiens (Human) OX=9606 GN=FAM83D PE=1 SV",NA,6.966771590354906,6.93796235218169,6.983379345961872,7.005381911890451,7.064915422366852,7.029486583380425,7.217230890427481,7.245600855522238,7.269172968614702,7.20427506119053,7.174688461538457,7.1369602922257425,6.932593203333025,7.000506044222402,7.0110767195834605,6.851712004720334,6.8216985283827345,6.899606409764725,6.85476088042472,6.5776478899709945,6.899289697068391,6.914872941704133,6.899074891322976,6.9788540067885325,6.657468682443627,6.656473766222362,6.669041303595744,6.902908400795149,6.828913420408773,6.908869727302455,-0.28516356392332226,1.1116077394870096,-0.8264441755636798,
99,A0A087WXV6,OTUD5,OTU domain-containing protein 5,NA,NA,"tr|A0A087WXV6|A0A087WXV6_HUMAN Isoform of Q96G74, OTU domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=OTUD5 PE=1 SV=1;sp|Q96G74-2|OTUD5-2_HUMAN Isoform of Q96G74, Isoform 2 of OTU domain-containing protein 5 OS=Homo sapiens (Human) OX=9606 GN=",NA,6.0353529368050856,5.592893406744701,6.0503739102196645,6.849706985200099,6.779768699403922,6.826747163508614,6.333885945279427,6.7076731472588405,6.711401625611513,6.939618254520086,6.89919444965687,6.918173855184434,6.3767730683869965,5.3956780125712545,6.054679869784654,6.881603492237939,6.997955058832481,7.009031711616732,6.456921006841421,6.433860089361706,6.178936253695992,6.942249775959361,7.034059758030182,7.01765599373037,5.012161253141068,5.304024262847153,5.809188465558453,6.65382673279319,6.564507547166216,6.622304622573406,0.3669923872117629,0.7646532886997609,-1.1316456759115248,
103,Q6ICJ4,Em:AP000351.3,Glutathione S-transferase theta-2B,NA,NA,"tr|Q6ICJ4|Q6ICJ4_HUMAN Isoform of P0CG30, Em:AP000351.3 protein OS=Homo sapiens (Human) OX=9606 GN=GSTT2B PE=1 SV=1;tr|A0A087WY67|A0A087WY67_HUMAN Isoform of P0CG29, Glutathione S-transferase theta-2 OS=Homo sapiens (Human) OX=9606 GN=GSTT2 PE=1 SV=1;sp|P0",NA,7.646057716718957,7.618708387854579,7.555969999994621,7.4812824740783,7.572066785080136,7.51674736037578,7.697048536026936,7.743512202939708,7.717750872556328,7.57626874162795,7.581380757683636,7.648232505356874,7.632027682291277,7.640795235522542,7.716188564645648,7.45051976832447,7.443183635414915,7.368210843530482,7.7356131701426705,7.700961878480785,7.744441084421729,7.399559393225443,7.421311575072755,7.395643003427671,7.867483226250473,7.8999910672821425,7.79409347433532,7.429359001342451,7.41875669027641,7.440092156724393,-0.6027864779324319,-0.5515348626439596,1.154321340576411,
104,A0A087WY71,AP2M1,AP-2 complex subunit mu,NA,NA,"tr|A0A087WY71|A0A087WY71_HUMAN Isoform of Q96CW1, AP-2 complex subunit mu OS=Homo sapiens (Human) OX=9606 GN=AP2M1 PE=1 SV=1;sp|Q96CW1-2|AP2M1-2_HUMAN Isoform of Q96CW1, Isoform 2 of AP-2 complex subunit mu OS=Homo sapiens (Human) OX=9606 GN=AP2M1 PE=1 SV=",NA,7.830293756770117,7.950213973348268,7.846030008350984,7.903103123158059,7.876533158914654,7.922360882542643,8.016208321923486,8.11480975026938,8.072518512880968,7.911593096087196,7.889470276939583,7.887595979984967,8.272630945263135,8.25477033250548,8.222184955711436,7.907327524349973,7.802161639776617,7.765817713735679,8.3311772796763,8.22872307056893,8.188843489798037,7.815063631141977,7.8670455248932845,7.846370843550181,7.88342901798852,7.862724961328244,7.958016160858861,7.963617524632193,7.976222845226296,7.875623660761535,-0.7983275551000163,1.1216627990552437,-0.3233352439552273,
