Gene names,id,Majority protein IDs,Sequence length,Protein names,Reverse,Potential contaminant,Fasta headers,Razor + unique peptides,Unique + razor sequence coverage [%],Only identified by site,R2M_GFPA_C_A_01,R2M_GFPA_C_A_02,R2M_GFPA_C_A_03,R2M_GFPA_C_T_01,R2M_GFPA_C_T_02,R2M_GFPA_C_T_03,R2M_GFPA_F_A_01,R2M_GFPA_F_A_02,R2M_GFPA_F_A_03,R2M_GFPA_F_T_01,R2M_GFPA_F_T_02,R2M_GFPA_F_T_03,R2M_R11A_F_A_01,R2M_R11A_F_A_02,R2M_R11A_F_A_03,R2M_R11A_F_T_01,R2M_R11A_F_T_02,R2M_R11A_F_T_03,R2A_R11G_C_A_01,R2A_R11G_C_A_02,R2A_R11G_C_A_03,R2A_R11G_C_T_01,R2A_R11G_C_T_02,R2A_R11G_C_T_03,R2A_R11G_F_A_01,R2A_R11G_F_A_02,R2A_R11G_F_A_03,R2A_R11G_F_T_01,R2A_R11G_F_T_02,R2A_R11G_F_T_03,cl_name
ABCF2,8096,Q9UG63,623,ATP-binding cassette sub-family F member 2,,,"sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens (Human) OX=9606 GN=ABCF2 PE=1 SV=2;sp|Q9UG63-2|ABCF2-2_HUMAN Isoform of Q9UG63, Isoform 2 of ATP-binding cassette sub-family F member 2 OS=Homo sapiens (Human) OX=9606 GN=ABCF",33,42.5,,8.565145195409151,8.599441801331434,8.58618873741514,8.256233937022529,8.370032853171585,8.329273353882993,8.59822731075276,8.62178017938595,8.560945218588193,8.310972086104929,8.278381977026562,8.341403927728821,8.504570500004633,8.545288786524596,8.51955975991007,8.354581970417595,8.377211505063242,8.496981959734377,8.310141292756738,8.351148755814222,8.268564358385525,8.373306667195745,8.369107590239128,8.389499502821424,8.298883878750859,8.364727573177907,8.350647218203507,8.34434241710665,8.372680665127861,8.402563161917367,RE_Profile
ABCF3,7779,Q9NUQ8,709,ATP-binding cassette sub-family F member 3,,,"sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens (Human) OX=9606 GN=ABCF3 PE=1 SV=2;sp|Q9NUQ8-2|ABCF3-2_HUMAN Isoform of Q9NUQ8, Isoform 2 of ATP-binding cassette sub-family F member 3 OS=Homo sapiens (Human) OX=9606 GN=ABCF",22,39.4,,8.177712638333283,8.146596309318824,8.16011558806172,7.964842316693236,7.98382599532054,7.950466183350108,8.09435931041529,8.020980613354656,8.10246887124359,7.932588342389443,7.908054139780503,7.996817455878462,8.180468805043455,8.162472333475373,8.183805491383346,7.983460383309827,7.879855745602859,7.853432216863451,7.963922540389351,7.969541651915013,7.926860292257391,7.971642546690782,7.9424253737868975,7.944189984530519,8.035223879429106,8.096558326721672,8.112371295699585,7.927257554297968,7.940802130044673,7.981458851431113,RE_Profile
ABHD10,7769,Q9NUJ1,306,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",,,"sp|Q9NUJ1|ABHDA_HUMAN Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ABHD10 PE=1 SV=1;sp|Q9NUJ1-2|ABHDA-2_HUMAN Isoform of Q9NUJ1, Isoform 2 of Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Hom",13,52,,5.800958459401444,3.5113924057547865,4.831929400080303,7.608603860817202,7.517285212462359,7.572688395720465,3.785904487147604,5.199765454586035,5.126145133768676,7.5127541089777905,7.561159090615371,7.5458530294946575,5.1127258825710555,3.609869899976069,5.371382542778135,7.408472882543992,7.471039115020424,7.3873931279519525,6.68187556560859,6.551416691306039,7.110366551523471,7.222013187869866,7.246440976691908,7.299442751049483,6.7396510220465995,6.500533587124117,6.760328300978838,7.240814496515641,7.267771061028562,7.299454005745007,Receptor_profile
ABHD11,6239,Q8NFV4,315,Alpha/beta hydrolase domain-containing protein 11,,,"sp|Q8NFV4|ABHDB_HUMAN Protein ABHD11 OS=Homo sapiens (Human) OX=9606 GN=ABHD11 PE=1 SV=1;sp|Q8NFV4-4|ABHDB-4_HUMAN Isoform of Q8NFV4, Isoform 4 of Protein ABHD11 OS=Homo sapiens (Human) OX=9606 GN=ABHD11 PE=1 SV=1;sp|Q8NFV4-6|ABHDB-6_HUMAN Isoform of Q8NFV",12,34.9,,6.810686787091227,6.836283626846942,6.771771318212416,7.402040430143021,7.412848059434492,7.3437100577428724,6.334659765361929,6.917938060839496,6.933457864263509,7.267440896492673,7.4340666634557016,7.31252193369908,6.628168182970674,6.494307514442624,6.853265066554558,7.199528205762565,7.282469487381391,7.246172428570304,7.159758988280065,7.25110202532623,7.177306721831233,6.876006767159601,6.879520780654285,6.953360613618525,7.4037971250856485,7.3197477851750055,7.187978521839938,7.049478396967927,6.8680204183999845,7.340625009018619,Receptor_profile
ABHD14B,6783,Q96IU4,210,Alpha/beta hydrolase domain-containing protein 14B,,,"sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens (Human) OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Isoform of Q96IU4, AB hydrolase-1 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Isofor",10,63.3,,8.672344009617053,8.658636301799513,8.771291476890184,8.06122008768858,8.046273118009195,8.005482027810979,8.662150777967229,8.72600196751403,8.750521455473539,8.050173730570762,8.027111973990644,7.987559550901723,8.58326113593695,8.608728726946952,8.600351184441154,8.08440288818355,8.057238097626028,8.19098003839857,8.217829897758628,8.358587138917606,8.290969792746838,7.967196553170436,7.92665415893486,7.94564452467663,8.189674869088593,8.286671505410878,8.272222138373087,7.899549923851173,8.007928827593114,7.834236030085293,RAB11_unique
ABR,403,A0A0G2JQ41,777,Active breakpoint cluster region-related protein,,,"tr|A0A0G2JQ41|A0A0G2JQ41_HUMAN Isoform of Q12979, Active breakpoint cluster region-related protein OS=Homo sapiens (Human) OX=9606 GN=ABR PE=1 SV=1;tr|A0A1C7CYZ0|A0A1C7CYZ0_HUMAN Isoform of Q12979, Active breakpoint cluster region-related protein OS=Homo s",4,5.3,,6.737744716552136,6.188421778071543,6.701237365178227,6.593439338748694,6.5036004735156006,6.569473710567359,3.521332542172041,6.5705965588622615,6.678663020296778,6.728953491478141,6.678709235408842,6.752043840503953,6.636768915779304,6.472609335429162,6.670069745959572,6.838857537134047,6.95104936594147,6.864712597992618,6.720818083305616,6.6278582952383225,6.5988606411885335,6.4571597932086835,6.591134910690165,6.540698877792489,4.8220074045887245,4.402553631665631,3.5316920622949133,6.534748515098978,6.631046714300431,6.278243681593173,RAB11_unique
ACAA1,3136,P09110,424,"3-ketoacyl-CoA thiolase, peroxisomal",,,"sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens (Human) OX=9606 GN=ACAA1 PE=1 SV=2;tr|C9JDE9|C9JDE9_HUMAN Isoform of P09110, 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens (Human) OX=9606 GN=ACAA1 PE=1 SV=1;tr|H7C131|H7C131_",15,52.6,,7.595709381587411,7.638794038017927,7.6671940649166,7.614637226297188,7.538841787317974,7.389697078012745,7.4496389061190404,7.673838336066402,7.696395549036342,7.52739977358077,7.756447677088409,7.523571318488404,7.821487835600347,7.87114541478693,7.844626477038895,7.546105527279437,7.579912370257851,7.61363263353632,7.693302333225575,7.59598239918569,7.653216583553328,7.495613484406952,7.532810947425032,7.524001992422047,7.574429606380277,7.5647729775071,7.607610336443925,7.519378674959884,7.564338572942973,7.513054826324939,RAB11_unique
ACAA2,3823,P42765,397,"3-ketoacyl-CoA thiolase, mitochondrial",,,"sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACAA2 PE=1 SV=2;tr|A0A0B4J2A4|A0A0B4J2A4_HUMAN Isoform of P42765, 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACAA2 PE=1 SV=1;tr|K7",26,82.6,,8.64744436307579,8.662175606266791,8.681050006821796,8.462434014863314,8.389407440576118,8.373806716114927,8.754456798554115,8.69461660910054,8.703712949645192,8.431485280759688,8.37212059555343,8.380838677582242,8.748355935997987,8.762230282309137,8.749210124225442,8.409916836818077,8.443232342748628,8.381129634582296,8.545856351010226,8.547860787273477,8.54255720336743,8.243175286649812,8.223113732294708,8.26067092136002,8.608880391061684,8.591542459575951,8.550498850541349,8.23087515481397,8.232335565535992,8.263867685289476,RAB11_unique
ACACA,4654,Q13085,2346,Acetyl-CoA carboxylase 1,,,"sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens (Human) OX=9606 GN=ACACA PE=1 SV=2;sp|Q13085-4|ACACA-4_HUMAN Isoform of Q13085, Isoform 4 of Acetyl-CoA carboxylase 1 OS=Homo sapiens (Human) OX=9606 GN=ACACA PE=1 SV=2;sp|Q13085-2|ACACA-2_HUMA",135,67.5,,9.327695990453504,9.296710043572626,9.347656899861576,8.786320955155938,8.88491931382378,8.902228102451309,8.991636490366476,9.017644918635094,9.001236838439295,8.921504350066582,8.829227644738399,8.846590504375113,9.237906863076667,9.301805651163148,9.33114710485871,8.754326887942305,8.772752320076904,8.7091765516403,8.757153597746074,8.72421437796861,8.741489724751814,8.827773078034554,8.826105586386154,8.823284702372845,9.128342977176715,9.113968192723151,9.09265610859879,8.84336472596468,8.86670592605327,8.864856329384201,RE_Profile
ACACB,2293,O00763-3,2256,Acetyl-CoA carboxylase 2,,,"sp|O00763-3|ACACB-3_HUMAN Isoform of O00763, Isoform 3 of Acetyl-CoA carboxylase 2 OS=Homo sapiens (Human) OX=9606 GN=ACACB PE=1 SV=3;sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens (Human) OX=9606 GN=ACACB PE=1 SV=3;sp|O00763-2|ACACB-2_HUMA",36,19,,8.180707369205397,8.199672429794521,8.131471605543435,5.370178140399333,5.367861621460622,5.367421942376302,7.045959682124834,7.143852674862754,6.814572433184787,5.639539684170018,5.371069918439216,5.368180893562083,7.745877604900677,7.910349465687637,7.888783092498949,5.954762242240864,5.500782866454926,5.497726523053878,5.5313566592134045,5.712556304211984,5.883358692624051,5.368798987464308,5.495839440453282,5.494957525815656,7.298672231878279,7.457254820816112,7.484633007716212,4.555996739851637,5.49637914346769,5.139181650714438,RE_Profile
ACADM,3222,Q5T4U5,454,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",,,"tr|Q5T4U5|Q5T4U5_HUMAN Isoform of P11310, Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a OS=Homo sapiens (Human) OX=9606 GN=ACADM PE=1 SV=1;sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo",21,50,,7.792337292264015,7.831614483411448,7.780196900929561,8.41007006549581,8.354221937093369,8.401636488522833,7.720952514390778,7.812673886423678,7.72557790043477,8.36401819156147,8.393410941661275,8.401976178462625,7.685260737070969,7.782382047513457,7.718644620493781,8.360428125131023,8.320360636228894,8.301831719560965,8.322377451856847,8.354892083290743,8.3405609956304545,8.399094190818852,8.364008342627654,8.401011760146385,8.27453604118869,8.26040820000688,8.280756782866906,8.343473576455182,8.29702882964004,8.328494645238141,Receptor_profile
ACADVL,3954,P49748,655,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",,,"sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACADVL PE=1 SV=1;sp|P49748-3|ACADV-3_HUMAN Isoform of P49748, Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondria",35,60.9,,8.231705111710514,8.227623476088853,8.180890397557752,8.70237494302742,8.767107358792225,8.77021566159388,8.119196027351745,8.03385393182515,8.128147854044416,8.846263141871928,8.803155019650324,8.838432036524338,8.117714319113741,8.10786028167983,8.145266657335062,8.93375741452158,8.919264621437383,8.884845953333187,8.548076851466625,8.574106629179273,8.508127600595916,8.557146997351873,8.588784176020464,8.566147151898454,8.489539758498273,8.532121590399695,8.527466951161747,8.507256657166861,8.503314246560095,8.538146174974813,Receptor_profile
ACAP2,4926,Q15057,778,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",,,"sp|Q15057|ACAP2_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=ACAP2 PE=1 SV=3;tr|A0A087X1H5|A0A087X1H5_HUMAN Isoform of Q15057, Arf-GAP with coiled-coil, ANK repeat and PH domain-containing",12,15.7,,6.8863369321982795,6.824446661870392,6.788666548081245,6.999459764338416,7.009884228266639,7.028808844490829,6.606791346096648,6.53054518477587,6.640184337915095,6.984674067466895,6.989370772649003,7.0786096883346366,6.504404204510914,6.664665223421053,6.664665223421053,6.660022286499238,6.7442194500284804,6.772145737413074,6.6991811198925175,6.812038198093918,6.579600259105841,6.737473786000773,6.7170749722558645,6.741352551495169,6.720203752116319,6.923673052494703,6.933411477941361,6.74935456762406,6.745398526017584,6.790579849082339,FGFR2_F_unique
ACAT1,3505,P24752,427,"Acetyl-CoA acetyltransferase, mitochondrial",,,"sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACAT1 PE=1 SV=1;tr|A0A5F9ZHL1|A0A5F9ZHL1_HUMAN Isoform of P24752, Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACAT1 PE=1",27,69.1,,8.778265024421723,8.78305500622015,8.736275473404229,8.25746343708632,8.48506324875364,8.424391697620615,8.960875644148025,8.848704088503819,8.828156446141616,8.536581312794404,8.538433567610454,8.506264805614773,8.846064486202001,8.86584631428713,8.88037003987018,8.396216844170338,8.40600765681584,8.409935486825585,8.628329813146102,8.693893323821372,8.696925128929832,8.398258093882607,8.353922839573972,8.424900599766895,8.742173387998061,8.728189214265432,8.711473821491696,8.352413647925093,8.382523677425452,8.31677030128213,RAB11_unique
ACAT2,7194,Q9BWD1,397,"Acetyl-CoA acetyltransferase, cytosolic",,,"sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens (Human) OX=9606 GN=ACAT2 PE=1 SV=2;sp|Q9BWD1-2|THIC-2_HUMAN Isoform of Q9BWD1, Isoform 2 of Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens (Human) OX=9606 GN=ACAT2 PE=1 S",16,61.5,,8.257817288941519,8.27772525751367,8.25568953463915,8.524371021047381,8.344616627583333,8.361629213924074,7.987526098716329,8.260922541110448,8.24761930139935,8.406912223814892,8.620168556384483,8.351352867838099,8.135264517742998,8.135658924685687,8.141514524681345,8.393021040693291,8.435147402765718,8.424300002497137,8.10622904355767,8.178425467434156,8.128924074207609,8.455119377405586,8.39376921793477,8.439195959432142,8.360080864462159,8.341559675158823,8.299289960276715,8.570145804284286,8.591707560466423,8.57059217871297,FGFR2_F_unique
ACBD3,7410,Q9H3P7,528,Golgi resident protein GCP60,,,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens (Human) OX=9606 GN=ACBD3 PE=1 SV=4,16,43.9,,7.306350595975786,7.206846478126347,7.218594652930156,7.7706154271633485,7.728008928105249,7.732534838767741,7.084238966369644,7.079117430092079,6.974056905423292,7.778755368918802,7.792052503913204,7.813834193946998,7.04301546597898,6.9814414042425845,7.040007102547544,7.72205853906289,7.669207952799454,7.6798931921462374,7.205885088668957,7.240326113576995,7.2341849429748315,7.706574207248062,7.701888966999408,7.714371414918357,7.228635428261445,7.301443093320536,7.256383312273294,7.768437640674009,7.745375353259522,7.793752859661006,FGFR2_F_unique
ACIN1,8952,S4R3H4,1283,,,,"tr|S4R3H4|S4R3H4_HUMAN Isoform of Q9UKV3, SAP domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=ACIN1 PE=1 SV=1",55,44.3,,7.114068699772004,7.127235410400041,7.062250794181987,8.1150009004067,8.080669599083887,8.117189669519771,6.863596623370143,6.896720636078587,6.4934212756831915,7.936744972846416,7.9870298173084375,7.933231692279885,6.9084211309399555,6.862658498656817,6.527746015982904,8.242860556981858,8.22632416813475,8.233698001409588,7.736787494162348,7.733047597122684,7.719037740543036,8.066644446311466,8.085305845777828,8.043191508901954,7.648328630124099,7.626507936312135,7.581348749864504,8.052270997860125,8.117368129834972,8.12100257504659,Receptor_profile
ACO1,3442,P21399,889,Cytoplasmic aconitate hydratase,,,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens (Human) OX=9606 GN=ACO1 PE=1 SV=3,40,55.8,,8.754625264656536,8.735748492132812,8.786101907603824,8.388524521211618,8.392413171488002,8.4210923871565,8.699812988412088,8.6570576025781385,8.66794779276881,8.447024408195595,8.352953654555066,8.453798566265961,8.837888535183778,8.88834881981093,8.942699995225137,8.400261853921856,8.47028691874236,8.4411750351034,8.827114358960168,8.846036869678924,8.803020574774502,8.279409531083424,8.349755731315954,8.28863946713395,8.624150851103053,8.537808350262212,8.491719255787745,8.271751474168399,8.246163415221663,8.292979090148254,RAB11_unique
