"","id","Majority protein IDs","Sequence length","Gene names","Protein names","Reverse","Potential contaminant","Fasta headers","Razor + unique peptides","Unique + razor sequence coverage [%]","Only identified by site","LFQ intensity R2M_GFPA_P_C_A_40_01","LFQ intensity R2M_GFPA_P_C_A_40_02","LFQ intensity R2M_GFPA_P_C_A_40_03","LFQ intensity R2M_GFPA_P_C_T_40_01","LFQ intensity R2M_GFPA_P_C_T_40_02","LFQ intensity R2M_GFPA_P_C_T_40_03","LFQ intensity R2M_GFPA_P_F_A_40_01","LFQ intensity R2M_GFPA_P_F_A_40_02","LFQ intensity R2M_GFPA_P_F_A_40_03","LFQ intensity R2M_GFPA_P_F_T_40_01","LFQ intensity R2M_GFPA_P_F_T_40_02","LFQ intensity R2M_GFPA_P_F_T_40_03","LFQ intensity R2M_R11A_P_F_A_40_01","LFQ intensity R2M_R11A_P_F_A_40_02","LFQ intensity R2M_R11A_P_F_A_40_03","LFQ intensity R2M_R11A_P_F_T_40_01","LFQ intensity R2M_R11A_P_F_T_40_02","LFQ intensity R2M_R11A_P_F_T_40_03","LFQ intensity R2A_R11G_P_C_A_40_01","LFQ intensity R2A_R11G_P_C_A_40_02","LFQ intensity R2A_R11G_P_C_A_40_03","LFQ intensity R2A_R11G_P_C_T_40_01","LFQ intensity R2A_R11G_P_C_T_40_02","LFQ intensity R2A_R11G_P_C_T_40_03","LFQ intensity R2A_R11G_P_F_A_40_01","LFQ intensity R2A_R11G_P_F_A_40_02","LFQ intensity R2A_R11G_P_F_A_40_03","LFQ intensity R2A_R11G_P_F_T_40_01","LFQ intensity R2A_R11G_P_F_T_40_02","LFQ intensity R2A_R11G_P_F_T_40_03"
"11",17,"A0A0B4J1X5",117,"IGHV3-74","Ig heavy chain V-III region BUT","","","sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens (Human) OX=9606 GN=IGHV3-74 PE=3 SV=1;tr|A0A075B7E8|A0A075B7E8_HUMAN Ig-like domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=IGHV3OR16-13 PE=1 SV=1;sp|A0A0C4DH42|HV36",2,15.4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92965620002208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",18,"A0A075B7G8",706,"APBB1","Amyloid beta A4 precursor protein-binding family B member 1","","","tr|A0A075B7G8|A0A075B7G8_HUMAN Isoform of O00213, Amyloid-beta A4 precursor protein-binding family B member 1 OS=Homo sapiens (Human) OX=9606 GN=APBB1 PE=1 SV=7;tr|J3KPL8|J3KPL8_HUMAN Isoform of O00213, Amyloid-beta A4 precursor protein-binding family B me",4,8.6,"",6.34498561570881,6.35252910683635,6.4109746125097,6.12156671080811,NA,6.45437029595563,6.22482884520882,6.14281739688476,NA,6.36632491966402,6.40844478721109,6.47489628401828,NA,6.36879689445275,6.42598478668384,NA,6.33507990492247,NA,NA,NA,NA,6.44157922217294,6.48707217834528,6.45358327587599,NA,6.19492117209902,NA,6.38657003996633,6.33963221357051,6.39343792174777
"13",19,"A0A087WSV0",250,"BCL2L12","Bcl-2-like protein 12","","","tr|A0A087WSV0|A0A087WSV0_HUMAN Isoform of Q9HB09, Bcl-2-like protein 12 OS=Homo sapiens (Human) OX=9606 GN=BCL2L12 PE=1 SV=1;tr|M0R1Z8|M0R1Z8_HUMAN Isoform of Q9HB09, Bcl-2-like protein 12 OS=Homo sapiens (Human) OX=9606 GN=BCL2L12 PE=1 SV=2;tr|M0QZM6|M0QZ",5,23.6,"",NA,NA,NA,6.35200522421316,6.2777548470499,6.23056986099182,NA,NA,NA,6.30635399022873,6.44737393055102,6.26459546438234,NA,NA,NA,6.40114491553834,6.33712875985764,6.40574749849239,NA,NA,NA,6.34441098790326,NA,6.38222112603749,NA,NA,NA,NA,6.37282273068569,6.36256479601199
"14",20,"A0A087WSW7",700,"HELLS","Lymphoid-specific helicase","","","tr|A0A087WSW7|A0A087WSW7_HUMAN Isoform of Q9NRZ9, Helicase, lymphoid-specific, isoform CRA_d OS=Homo sapiens (Human) OX=9606 GN=HELLS PE=1 SV=1;tr|F6XU50|F6XU50_HUMAN Isoform of Q9NRZ9, Helicase, lymphoid-specific, isoform CRA_l OS=Homo sapiens (Human) OX=",16,23.4,"",6.99486859177635,6.9681190393701,6.96381190616214,7.19985894470047,7.21496029755774,7.1957590367844,6.86312319717123,6.82526619987993,6.52032111635232,7.24054341997812,7.21672590292673,7.28103730072754,6.99783256831562,7.1582669775865,7.10002218990244,7.131076557352,7.20924688980157,7.21742114895152,7.00529450846338,7.10721036800433,7.04928401899137,7.11585292138913,7.18623972393232,7.20098130405529,7.22829898127845,6.93703141682098,6.94950288948282,7.15924316922764,7.17403595852775,7.25414394275397
"15",22,"E9PIR7",482,"TXNRD1","Thioredoxin reductase 1, cytoplasmic","","","tr|E9PIR7|E9PIR7_HUMAN Isoform of Q16881, Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens (Human) OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Isoform of Q16881, Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens (Human) OX=9606 GN=TXNRD1 PE=1",24,62.4,"",7.89241257766983,7.86663912112053,7.72035232473412,8.44135041011366,8.50324078881402,8.47292090789847,7.67493599306398,7.59369116203269,7.72164965349064,8.68433998465496,8.50229827522341,8.55000962302042,7.23911737805405,7.40684644049935,7.20093078520024,8.57503877327098,8.48225854197829,8.50341501273403,8.13072200236522,8.07516101330535,7.94525021538487,8.54415173115219,8.38787249135089,8.6510740457091,8.04523771723143,8.04839684469354,7.93915576772464,8.49665268870012,8.51230851360878,8.46719876448021
"16",23,"K7ERP4",155,"GPX4","Glutathione peroxidase","","","tr|K7ERP4|K7ERP4_HUMAN Isoform of P36969, Glutathione peroxidase (Fragment) OS=Homo sapiens (Human) OX=9606 GN=GPX4 PE=1 SV=1;tr|A0A087X2I2|A0A087X2I2_HUMAN Isoform of P36969, Glutathione peroxidase OS=Homo sapiens (Human) OX=9606 GN=GPX4 PE=1 SV=1;tr|A0A0",4,32.3,"",6.82221473443808,6.81663021005072,7.22648697258138,6.52945306200127,6.59655093678606,6.41312924130411,6.73048414375805,6.93056067751912,6.81793535835703,6.51660420430975,6.58840688490498,6.45936465390933,7.03114347459146,6.78912850079436,NA,6.9220134498849,6.81751527836476,6.85698290868724,6.48102937369462,6.73739887124308,6.44009295366938,6.96018750787553,6.91715515703416,6.92540217949866,6.33757905109741,6.61280688085865,6.68813300872858,6.82597977657668,6.75599633029174,6.80147155457448
"17",24,"A0A087WT20",597,"DCAF13","DDB1- and CUL4-associated factor 13","","","tr|A0A087WT20|A0A087WT20_HUMAN Isoform of Q9NV06, WD_REPEATS_REGION domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=DCAF13 PE=1 SV=1;sp|Q9NV06|DCA13_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens (Human) OX=9606 GN=DCAF13 PE=1 SV=2;",11,20.3,"",7.32467102837454,7.38897675241876,7.23866609830872,6.50295227905186,6.96970238650285,7.01342338913661,7.3792020083517,7.31297673163251,7.12264304385877,7.0263155063568,6.74504594305104,6.98953885428453,6.99908420102596,7.10206447545764,7.13150882075443,6.89243040639403,6.86764586872241,6.91047240612548,7.00463297400586,7.1467241322317,7.13255850399168,7.02807142646318,7.0811935907917,7.06701213744635,7.26949086570362,7.37555306307683,7.36583981254627,7.16870209943773,7.18672664572477,7.13627194510444
"18",25,"A0A087WT45",796,"GRIPAP1","GRIP1-associated protein 1","","","tr|A0A087WT45|A0A087WT45_HUMAN Isoform of Q4V328, GRIP1-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=GRIPAP1 PE=1 SV=1;sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=GRIPAP1 PE=1 SV=2;sp|Q4V328-4|GRAP1-4_HUMA",26,39.8,"",6.78615355663685,6.39708883623081,6.69019709238979,7.55998150538575,7.50722553879154,7.36349044208476,NA,NA,6.45020554666579,7.49179224826626,7.57767847964784,7.52750363538946,6.57482830109199,6.18975464316934,6.83737494225643,7.35870043330892,7.43963058434426,7.47058712943873,6.76041163300697,6.72154675553401,6.5872630630764,7.14092293678998,7.34015944422539,7.16635877874444,6.70543603373689,6.64675728599432,6.62944600050034,7.33621050110272,7.29414174698206,7.33964636009103
"19",29,"D6RCT6",102,"MND1","Meiotic nuclear division protein 1 homolog","","","tr|D6RCT6|D6RCT6_HUMAN Isoform of Q9BWT6, Mnd1 domain-containing protein (Fragment) OS=Homo sapiens (Human) OX=9606 GN=MND1 PE=1 SV=1;tr|A0A087WTC6|A0A087WTC6_HUMAN Isoform of Q9BWT6, Mnd1 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=MND1 P",2,22.5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88031303110059,NA,NA,NA,NA,7.63587465129634,NA,NA,NA,NA,NA,NA,NA,NA
"20",32,"Q5JWB9",74,"TMEM230","Transmembrane protein 230","","","tr|Q5JWB9|Q5JWB9_HUMAN Isoform of Q96A57, Transmembrane protein 230 (Fragment) OS=Homo sapiens (Human) OX=9606 GN=TMEM230 PE=1 SV=1;tr|A0A087WTT2|A0A087WTT2_HUMAN Isoform of Q96A57, Transmembrane protein 230 OS=Homo sapiens (Human) OX=9606 GN=TMEM230 PE=1",3,35.1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59227112574308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",33,"A0A087WVR3",806,"UHRF1","E3 ubiquitin-protein ligase UHRF1","","","tr|A0A087WVR3|A0A087WVR3_HUMAN Isoform of Q96T88, E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens (Human) OX=9606 GN=UHRF1 PE=1 SV=1;tr|A0A087WTW0|A0A087WTW0_HUMAN Isoform of Q96T88, E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens (Human) OX=9606 GN=UH",24,36.6,"",7.73949554189477,7.71563038075195,7.73458668549298,7.6432932441008,7.66565051842838,7.67412442939337,7.44213398600506,7.45355860547558,7.54473900142163,7.70546967303831,7.61913130948333,7.72263254668,7.71497171473655,7.83259251908188,7.76899002360919,7.71269229742302,7.72229341843765,7.72549351689204,7.73727432622444,7.74375176522515,7.71947880791241,7.69797482746919,7.72489094830093,7.67492428227432,7.53334813618454,7.51458844217724,7.45641957842275,7.59778945392499,7.64045341363717,7.67424048749031
"22",35,"A0A087WU02",386,"ERGIC2","Endoplasmic reticulum-Golgi intermediate compartment protein 2","","","tr|A0A087WU02|A0A087WU02_HUMAN Isoform of Q96RQ1, Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens (Human) OX=9606 GN=ERGIC2 PE=1 SV=1;sp|Q96RQ1|ERGI2_HUMAN Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Hom",6,19.4,"",7.49959762735026,7.47235871861696,7.48046397521114,7.19465261298016,7.14946438625276,7.13776993071337,7.04428152347546,7.46734064590715,7.4846995834042,7.0918415987564,7.0547952653695,7.13601891494286,7.15063733424959,7.2301534736239,7.24978737299231,7.11102550328994,6.95463915934634,6.95187002381625,7.29913355940776,7.09667407316576,6.96264273973019,7.12251777145871,7.18058697480701,7.19126230359192,7.12061423304155,7.31304722755409,7.28223442137302,7.11542896438696,7.1583954134728,7.16356305972876
"23",38,"A0A087WU53",367,"MAGT1","Magnesium transporter protein 1","","","tr|A0A087WU53|A0A087WU53_HUMAN Isoform of Q9H0U3, Magnesium transporter protein 1 OS=Homo sapiens (Human) OX=9606 GN=MAGT1 PE=1 SV=1;sp|Q9H0U3|MAGT1_HUMAN Magnesium transporter protein 1 OS=Homo sapiens (Human) OX=9606 GN=MAGT1 PE=1 SV=1",9,24.3,"",8.08069260793426,8.18758395252132,8.04321267490197,7.67765403080023,7.64345413315987,7.5736566089499,7.99201200657548,8.03044835453364,7.93190281413482,7.64951467127037,7.69655173567215,7.5692117322942,7.59533358385723,7.64859209296238,7.5829316362261,7.42332273165232,7.31884751553311,7.3120718209012,7.64440261212433,7.72349619908662,7.70945351468119,7.33906891268554,7.31501513215271,7.3658064940496,7.78875247308517,7.84958535672105,7.84676906786741,7.25280051382584,7.23080228711074,7.47337402084536
"24",41,"A0A087WUB9",568,"CTNNBL1","Beta-catenin-like protein 1","","","tr|A0A087WUB9|A0A087WUB9_HUMAN Isoform of Q8WYA6, DUF1716 domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=CTNNBL1 PE=1 SV=1;sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=CTNNBL1 PE=1 SV=1;sp|Q8WYA6-4|CTBL",21,32.2,"",7.18755993055186,7.09646528478741,7.08820284807825,7.67478790661591,7.69508117240583,7.76904243878728,7.13001009578356,7.06922131069825,6.948791076225,7.70329430377286,7.72739576808853,7.69670807126721,7.19573206451236,7.25613811608699,7.33685808430283,7.60952015475267,7.6255963474346,7.66170123130627,7.4400241050966,7.46466782560455,7.35561447200188,7.640170696197,7.60546105716212,7.64249132010884,7.34193179782782,7.43433345228208,7.42271090064753,7.60756327428092,7.60575977849174,7.60278196434797
"25",42,"A0A087WUC6",227,"SPCS2","Signal peptidase complex subunit 2","","","tr|A0A087WUC6|A0A087WUC6_HUMAN Isoform of Q15005, Signal peptidase complex subunit 2 OS=Homo sapiens (Human) OX=9606 GN=SPCS2 PE=1 SV=1;sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens (Human) OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PI68|E9",16,52,"",8.63055364690154,8.65056505129327,8.6157610968341,8.25506903028963,8.28596240944436,8.25502140295846,8.59155445646554,8.64405158156008,8.66959487832987,8.28851368297726,8.35602560680162,8.32932631800493,8.52812591501351,8.54160876388708,8.5113163968678,8.16693174490142,8.21391186125385,8.24858305085026,8.49214807562666,8.49423741488171,8.51260324985891,8.33743763508145,8.34756672764901,8.35024221531205,8.55764114836626,8.52904657836325,8.48753644802424,8.36133136388528,8.35307855447204,8.23547031604642
"26",45,"A0A087WUK4",434,"NR2C1","Nuclear receptor subfamily 2 group C member 1","","","tr|A0A087WUK4|A0A087WUK4_HUMAN Isoform of P13056, Nuclear receptor domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=NR2C1 PE=1 SV=1;sp|P13056-2|NR2C1-2_HUMAN Isoform of P13056, Isoform 2 of Nuclear receptor subfamily 2 group C member 1 OS=Homo",3,7.6,"",NA,6.26380065663855,NA,NA,NA,NA,6.30053230225647,6.28144002089695,6.19644360774506,NA,NA,NA,6.31237845327715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12395952530249,NA,NA,NA
"27",46,"A0A087WXK2",707,"PEG10","Retrotransposon-derived protein PEG10","","","tr|A0A087WXK2|A0A087WXK2_HUMAN Isoform of Q86TG7, CCHC-type domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=PEG10 PE=1 SV=1;tr|A0A087WUL4|A0A087WUL4_HUMAN Isoform of Q86TG7, CCHC-type domain-containing protein OS=Homo sapiens (Human) OX=9606 G",11,23.9,"",6.93119713726234,6.91100102424548,7.04789120755458,6.62424104562616,7.01063800942982,6.9925615564831,6.78071556827781,6.80803765474742,6.83767533954286,7.00476306103107,6.75691908597269,6.9658457232066,6.78629799769509,6.9182995036284,6.79301930601362,6.87512731225861,6.84042840412513,6.77582963581936,6.85009234161329,6.89122660087863,6.91582642328162,7.10151856050586,7.15903633136,7.09890527484534,6.91424798685881,6.89872072507846,6.86191912580584,7.1394950912361,7.18039929516575,7.17486928462345
"28",48,"A0A087WUN5",85,"ANAPC16","Anaphase-promoting complex subunit 16","","","tr|A0A087WUN5|A0A087WUN5_HUMAN Isoform of Q96DE5, Anaphase-promoting complex subunit 16 OS=Homo sapiens (Human) OX=9606 GN=ANAPC16 PE=1 SV=1;sp|Q96DE5|APC16_HUMAN Anaphase-promoting complex subunit 16 OS=Homo sapiens (Human) OX=9606 GN=ANAPC16 PE=1 SV=1",3,71.8,"",NA,NA,6.65854167385155,6.84633722108427,6.6151795238527,6.94675406819758,NA,6.67800591451039,NA,6.85261157548267,6.75202978296836,6.76036500479398,NA,NA,7.12728068656131,6.85329446455315,6.93263611753688,6.99772189771263,NA,NA,NA,6.79909263058499,6.79923049574435,6.79141530279678,6.49048325886374,NA,NA,6.8341712447021,6.75278203356748,6.92613271502777
"29",49,"A0A087WUQ6",202,"GPX1","Glutathione peroxidase","","","tr|A0A087WUQ6|A0A087WUQ6_HUMAN Isoform of P07203, Glutathione peroxidase OS=Homo sapiens (Human) OX=9606 GN=GPX1 PE=1 SV=1;sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens (Human) OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Isofor",12,65.8,"",7.22612694620457,7.20852348896814,7.31245806825505,7.04773846077642,7.02613292142325,6.89054246106866,7.27847888608897,7.12734863822153,7.26313849163589,6.95261799672924,7.02261794120847,6.92753564898517,7.1646593162109,7.20047880626196,7.27240259226764,7.21240981858665,7.25674309409113,7.30590692073459,7.22179297834033,7.16453220372877,7.1364833881333,7.37248064247902,7.38414034878124,7.4261649070952,7.22399203983874,7.12365623381302,7.17148668123133,7.25622347260748,7.27941076334828,7.25347827822344
